Obligation ID	Parent AC	Package ID	Tranche ID	Canonical storage ref	Obligation meaning SHA-256	Joint group	Parent contribution	Design IDs	Proof type	Negative case	Target scope	Accounting	Design	Proof	Blocker
DO-ACO-001A	AC-ACOU-001	WP-01	TR-WP01-ACOU-001	docs/system-design/slices/04-acoustic-one-wake-one-command.md::DO-ACO-001A	sha256:ea7c744776f097e5d9a0dcd297ead7d41032a97f5ff3aa1a00b8f6f9153da273	JG-ACO-OWNER	full	SD-CTX-ACO-001, SD-STA-ACO-001, SD-TRN-ACO-001, SD-TRN-ACO-002, SD-TRN-ACO-003, SD-TRN-ACO-007, SD-TRN-ACO-008	architecture/pure	owner重複、Adapter／KernelからState変更	共通Core	accounted-for	designed	planned	—
DO-ACO-001B	AC-ACOU-001	WP-01	TR-WP01-ACOU-001	docs/system-design/slices/04-acoustic-one-wake-one-command.md::DO-ACO-001B	sha256:890c10c2930cbebc5947da64219959f3b29f24297ee88190573cee30294ddfaa	JG-ACO-OWNER	full	SD-PRT-ACO-001, SD-PRT-ACO-002, SD-MOD-ACO-001, SD-MOD-ACO-003, SD-RUL-ACO-008, SD-RUL-ACO-011	architecture/contract	raw buffer所有をhistory/post-wake collection判断所有へ昇格、両intervalを混同	source境界	accounted-for	designed	planned	—
DO-ACO-001C	AC-ACOU-001	WP-01	TR-WP01-ACOU-001	docs/system-design/slices/04-acoustic-one-wake-one-command.md::DO-ACO-001C	sha256:186682acd9197caea393ea1e773960c148dddd5ae989a88a5508e837e1d3b292	JG-ACO-EXECUTION-V2	full	SD-MOD-EXE-004, SD-STA-EXE-002, SD-MOD-EXE-005, SD-RUL-EXE-008, SD-RUL-EXE-009, SD-EVT-EXE-011, SD-TRN-EXE-017, SD-TRN-EXE-018, SD-PER-EXE-009, SD-PER-EXE-010, SD-PRJ-EXE-001, SD-PRF-EXE-001, SD-FAIL-EXE-001	architecture/contract/crash-recovery	V1 complete recordのfield欠落、resume request/commit統合、revocation key drift、Graph内Occurrence複製owner、in-flight identity消失、migration control非耐久、reserved sequence／gap、abort/activation reducer dual/gap、result loss／二重apply、conflictでwinner上書き	Execution V2 snapshot／migration control境界	accounted-for	designed	planned	—
DO-ACO-002A	AC-ACOU-002	WP-01	TR-WP01-ACOU-001	docs/system-design/slices/04-acoustic-one-wake-one-command.md::DO-ACO-002A	sha256:c9c4de386f667303284ed0959eaedb3624a35af1001fb957d4b4f15a1100006f	JG-ACO-FIRST-SPEECH	full	SD-RUL-ACO-002, SD-RUL-ACO-008, SD-RUL-ACO-011, SD-RUL-ACO-012, SD-EVT-ACO-004, SD-EVT-ACO-011, SD-EFX-ACO-003, SD-EFX-ACO-004, SD-PRF-ACO-001	pure/integration	historyをpost-wakeへ延長、prompt/guard全span discard、query issuer欠落、prompt failureでsession未終端	実profile	accounted-for	designed	planned	—
DO-ACO-002B	AC-ACOU-002	WP-01	TR-WP01-ACOU-001	docs/system-design/slices/04-acoustic-one-wake-one-command.md::DO-ACO-002B	sha256:014a2d5a47adad4e2639a34034191f5014dd26b19ac6e598c655ee4794b3a3ea	JG-ACO-ONE-COMMAND	full	SD-RUL-ACO-003, SD-TRN-ACO-003, SD-GPH-ACO-001, SD-CMD-INT-002, SD-PER-ACO-001	pure/concurrency/crash-recovery	一wakeから二Submit、emptyなのにT生成、無音fixtureだけで合格	初期one-wake-one-command	accounted-for	designed	planned	—
DO-ACO-002C	AC-ACOU-002	WP-01	TR-WP01-ACOU-001	docs/system-design/slices/04-acoustic-one-wake-one-command.md::DO-ACO-002C	sha256:856262ac5aec05ad0b12aa26439ea29cc8a54b6dcc43e7d9abc23aff48e02ccd	JG-ACO-GRAPH-EXTENSION	full	SD-MOD-ACO-002, SD-RUL-ACO-009, SD-RUL-ACO-012, SD-EVT-EXE-009, SD-RUL-EXE-007, SD-TRN-EXE-016, SD-PER-EXE-008, SD-GPH-ACO-001	architecture/pure/concurrency	future cursor payload、prompt resultが複数/無分岐、Acoustic subject四field不一致でlease継続、typed close/custodyでCなし	Execution V2 Graph	accounted-for	designed	planned	—
DO-ACO-003A	AC-ACOU-003	WP-01	TR-WP01-ACOU-001	docs/system-design/slices/04-acoustic-one-wake-one-command.md::DO-ACO-003A	sha256:10651d27651f79617102f66dcc510a564c07051632e1fd8251a762cb0e7d495f	JG-ACO-DISCARD	full	SD-RUL-ACO-002, SD-RUL-ACO-003, SD-EVT-ACO-007, SD-FAIL-ACO-001	pure/integration	empty／prompt／lateを成功commandまたは無記録にする	共通	accounted-for	designed	planned	—
DO-ACO-003B	AC-ACOU-003	WP-01	TR-WP01-ACOU-001	docs/system-design/slices/04-acoustic-one-wake-one-command.md::DO-ACO-003B	sha256:506855e362e90b86601ae849089057141c3bcdc15aecf93984e0d3fd90270882	JG-ACO-RECONNECT	full	SD-EVT-ACO-002, SD-RUL-ACO-006, SD-TRN-ACO-005, SD-REC-ACO-001	pure/crash-recovery	reconnectから新wake/session/Interactionを暗黙生成	source reconnect	accounted-for	designed	planned	—
DO-ACO-004A	AC-ACOU-004	WP-01	TR-WP01-ACOU-001	docs/system-design/slices/04-acoustic-one-wake-one-command.md::DO-ACO-004A	sha256:33d44a754294aed6b4e6853198adc980ab943ef1e05209f97936dbd12b85eb35	JG-ACO-PROFILE	full	SD-POL-ACO-001, SD-STA-ACO-001, SD-EFX-ACO-001, SD-EVT-ACO-008, SD-RUL-ACO-007, SD-TRN-ACO-006	architecture/contract/pure	pre-roll／guard数値やflush方式をCoreへ固定、途中version読替	実source profile	accounted-for	designed	planned	—
DO-ACO-004B	AC-ACOU-004	WP-01	TR-WP01-ACOU-001	docs/system-design/slices/04-acoustic-one-wake-one-command.md::DO-ACO-004B	sha256:f7c4705f78f3ff69623ba880116f7ec992c47223424f254a8fc831502ad22235	JG-ACO-CORRELATION	full	SD-PRJ-ACO-001, SD-PRF-ACO-001, SD-EVT-ACO-007	projection/real-device	wake、prompt、最初の発話、command、discardの相関欠落	実profile	accounted-for	designed	blocked-by-spike	proof-status:blocked-by-spike
