Record type	Identity	Value
tranche	TR-WP01-ACOU-001	WP-01
package	WP-01	TR-WP01-ACOU-001
parent-ac	AC-ACOU-001	TR-WP01-ACOU-001
parent-ac	AC-ACOU-002	TR-WP01-ACOU-001
parent-ac	AC-ACOU-003	TR-WP01-ACOU-001
parent-ac	AC-ACOU-004	TR-WP01-ACOU-001
parent-ac	AC-ACOU-005	TR-WP01-ACOU-001
parent-ac	AC-ACOU-006	TR-WP01-ACOU-001
parent-ac	AC-ACOU-007	TR-WP01-ACOU-001
obligation	DO-ACO-001A	TR-WP01-ACOU-001	sha256:ea7c744776f097e5d9a0dcd297ead7d41032a97f5ff3aa1a00b8f6f9153da273
obligation	DO-ACO-001B	TR-WP01-ACOU-001	sha256:890c10c2930cbebc5947da64219959f3b29f24297ee88190573cee30294ddfaa
obligation	DO-ACO-001C	TR-WP01-ACOU-001	sha256:186682acd9197caea393ea1e773960c148dddd5ae989a88a5508e837e1d3b292
obligation	DO-ACO-002A	TR-WP01-ACOU-001	sha256:c9c4de386f667303284ed0959eaedb3624a35af1001fb957d4b4f15a1100006f
obligation	DO-ACO-002B	TR-WP01-ACOU-001	sha256:014a2d5a47adad4e2639a34034191f5014dd26b19ac6e598c655ee4794b3a3ea
obligation	DO-ACO-002C	TR-WP01-ACOU-001	sha256:856262ac5aec05ad0b12aa26439ea29cc8a54b6dcc43e7d9abc23aff48e02ccd
obligation	DO-ACO-003A	TR-WP01-ACOU-001	sha256:10651d27651f79617102f66dcc510a564c07051632e1fd8251a762cb0e7d495f
obligation	DO-ACO-003B	TR-WP01-ACOU-001	sha256:506855e362e90b86601ae849089057141c3bcdc15aecf93984e0d3fd90270882
obligation	DO-ACO-004A	TR-WP01-ACOU-001	sha256:33d44a754294aed6b4e6853198adc980ab943ef1e05209f97936dbd12b85eb35
obligation	DO-ACO-004B	TR-WP01-ACOU-001	sha256:f7c4705f78f3ff69623ba880116f7ec992c47223424f254a8fc831502ad22235
obligation	DO-ACO-005A	TR-WP01-ACOU-001	sha256:3b4bd2dc031b83d53f4a735220a61ac88b4ac25d1d3465a929e5728c8b350616
obligation	DO-ACO-005B	TR-WP01-ACOU-001	sha256:4e2efeabb91c3fabffede7af45e5bf136da79be90ed34394ac46e0d39bd28d64
obligation	DO-ACO-005C	TR-WP01-ACOU-001	sha256:a55f050c2a0127ccb83ea7c9ba6e2f5588cf0d4a2595e7c1adfdb4ca424f18bf
obligation	DO-ACO-006A	TR-WP01-ACOU-001	sha256:9a1c158b5b8a1c9448d521aa3e6300d563fada1f6e4e7dd414fe2cca88d6a2c0
obligation	DO-ACO-006B	TR-WP01-ACOU-001	sha256:7f2ae1d65ed8b604c059aad79a950e865c6ede6eea66507653baadab89459cff
obligation	DO-ACO-006C	TR-WP01-ACOU-001	sha256:f2b7ecfec564123a44622fa5158d549ce015d363448975095f2eff3e391e5513
obligation	DO-ACO-006D	TR-WP01-ACOU-001	sha256:498756d8e9986d860c7ababb1b6bea24a68ef83f7ef5e8477222efb4781cdfc1
obligation	DO-ACO-007A	TR-WP01-ACOU-001	sha256:00fe0f274aa8bbb240ef47e34ee008f491d68dc6e7dabb22cc6f984e14f14b19
obligation	DO-ACO-007B	TR-WP01-ACOU-001	sha256:05bb8f3e0525e07867a5c907ce2dbc85f314238444124425355b8de5d67ed695
obligation	DO-ACO-007C	TR-WP01-ACOU-001	sha256:3bded7f2a6e108fd74124150a78fe1ebe9993afec1e1bc58fe8b6887e02b56e2
definition	SD-CMD-INT-001@1	contracts/camera-observation.md#sd-cmd-int-001--cancelrequested	sha256:e7346f323abb3f7d91d0ab35bdc04c5c078f8d48caae95185d1b1fa102e7b6fd
definition	SD-CMD-INT-002@1	contracts/finite-conversation.md#sd-cmd-int-002--submitinteraction	sha256:bbd5f95d9e812945dc097c77042d84437de8a548fabfac40ab6f50a0fbb2ff37
definition	SD-CMD-QLI-001@1	contracts/finite-conversation.md#sd-cmd-qli-001--returntohomerequested	sha256:b31c81087981ca3096e0b681da738e07bc61d8ac5aebd63aa8f2fe71a3bad809
definition	SD-CTX-ACO-001@1	contracts/acoustic-interaction.md#sd-ctx-aco-001--acoustic-context	sha256:092d2ae52e78122474f9de8970aa7ebbe8958a69025abe2158cb1fb69cdb8f5c
definition	SD-CTX-EXE-001@1	contracts/execution.md#sd-ctx-exe-001--execution-context	sha256:521e3d3c930f09469bfd247de7afd919db019f503994b33f99a79df3671b9652
definition	SD-EFX-ACO-001@1	contracts/acoustic-interaction.md#sd-efx-aco-001--openacousticsourcesession	sha256:1612023670c4c6f4f1077d7fd33428e6d5f4977e8399db27689bb15454baec8b
definition	SD-EFX-ACO-002@1	contracts/acoustic-interaction.md#sd-efx-aco-002--playwakeprompt	sha256:ea290ea40e53270b1780bc46f13db86f1191246417665e0ffbfd5b7721c93ad9
definition	SD-EFX-ACO-003@1	contracts/acoustic-interaction.md#sd-efx-aco-003--awaitacousticguardboundary	sha256:ee6a961034161aee868573ec6ce63987c4a575df6a2033084fbf7a97df79ee5a
definition	SD-EFX-ACO-004@1	contracts/acoustic-interaction.md#sd-efx-aco-004--transcriberetainedacousticspans	sha256:eb5faef8f4e8f383e8e7d38c090acb269296e5a6b47653bc643da8b096123331
definition	SD-EFX-ACO-005@1	contracts/acoustic-interaction.md#sd-efx-aco-005--closeacousticsourcesession	sha256:6a3955680bf6f3d336b256b6005c2523ca9154cc15a84a18d6c2d60abbb961c4
definition	SD-EFX-ACO-006@1	contracts/acoustic-interaction.md#sd-efx-aco-006--queryacousticsourceoperation	sha256:bcb8d39546c72d01f830b8cab85e446be030217b20649d7331be0b1b81dab02c
definition	SD-EFX-ACO-007@1	contracts/acoustic-interaction.md#sd-efx-aco-007--awaitacousticoperationdeadline	sha256:b679487ad99b644e13ab874a5b3e0d3a456c388721a0456284291cfa21580bc8
definition	SD-EFX-ACO-008@1	contracts/acoustic-interaction.md#sd-efx-aco-008--querywakepromptoperation	sha256:46bcb39a6d48f455946322f87a387c5efdcf372a75ec2c1c27332868740c4a1c
definition	SD-EFX-ACO-009@1	contracts/acoustic-interaction.md#sd-efx-aco-009--cancelwakepromptplayback	sha256:c7867c88d16e8ca1af67925bd60ca920e5b36a18655105d16ffaf06302cc33bf
definition	SD-EFX-ACO-010@1	contracts/acoustic-interaction.md#sd-efx-aco-010--cancelacousticsourceoperation	sha256:788ea7c007f004435241a87caeb28842fff3da337afab43fad507902cc7fc64d
definition	SD-EVT-ACO-001@1	contracts/acoustic-interaction.md#sd-evt-aco-001--wakecandidateobserved	sha256:369674a68542ed0220f570b43db2caef0784a99e691f2bd5367b02172dc6354d
definition	SD-EVT-ACO-002@1	contracts/acoustic-interaction.md#sd-evt-aco-002--acousticsourceobserved	sha256:4ab142994ccbd4d032f8c819822deaf1942f3152b74b4cd4b654af5ed9a988fa
definition	SD-EVT-ACO-003@1	contracts/acoustic-interaction.md#sd-evt-aco-003--acousticsourceoperationresolved	sha256:cf7270ba618d0a04b991a5881844aeb895a3d699fb70d8753a216be3bed27408
definition	SD-EVT-ACO-004@1	contracts/acoustic-interaction.md#sd-evt-aco-004--wakepromptplaybackresolved	sha256:48eff95e1e52bce7fc8ed788c3b0508e7d6534ab08df98b91f2a5e8f832fecc4
definition	SD-EVT-ACO-005@1	contracts/acoustic-interaction.md#sd-evt-aco-005--acousticguardboundaryelapsed	sha256:ac966bec67de4400a18c8f76f6e60eebdad30f4ad5a304741f543965d4603205
definition	SD-EVT-ACO-006@1	contracts/acoustic-interaction.md#sd-evt-aco-006--voicecontrolcandidateobserved	sha256:ee7023e71d04c5eeaabb8d500feaf6ad19ffbdeb6adda3c71c99cf2e1a41c995
definition	SD-EVT-ACO-007@1	contracts/acoustic-interaction.md#sd-evt-aco-007--acousticdecisionrecorded	sha256:e8c3c044f930c4e3d1057719dbabdf80677d132f2f5b0b6ddf9e614a45ac1f64
definition	SD-EVT-ACO-008@1	contracts/acoustic-interaction.md#sd-evt-aco-008--acousticpolicyrevisionregistered	sha256:08b95881d1aa249f56ba8ad16a973bc70f2599e2de4e047e1cf4061c2009171c
definition	SD-EVT-ACO-009@1	contracts/acoustic-interaction.md#sd-evt-aco-009--acousticoperationdeadlineelapsed	sha256:b053e479a72d8f61899644447672236d06d1d0632c9a86211ece35ded6d86bfb
definition	SD-EVT-ACO-010@1	contracts/acoustic-interaction.md#sd-evt-aco-010--acousticsourcequeryresolved	sha256:38792d25e3b314e5522fa9c28308d95ff5a70e42ecca01e063054faa7524367d
definition	SD-EVT-ACO-011@1	contracts/acoustic-interaction.md#sd-evt-aco-011--wakepromptqueryresolved	sha256:72f73bf9312f7cb065299ccbac3be011fe880f479d1a28db267e9f89550f0c43
definition	SD-EVT-ACO-012@1	contracts/acoustic-interaction.md#sd-evt-aco-012--acousticsourcecancellationresolved	sha256:c2bc18b91db8907a58dffa994862081576652afc0d5bb47d9ab5b8339fecc41f
definition	SD-EVT-ACO-013@1	contracts/acoustic-interaction.md#sd-evt-aco-013--wakepromptcancellationresolved	sha256:3b25ada30299ba15de733d9ed48705b40fe64b9ec40afb04be69c943f7396807
definition	SD-EVT-ACO-014@1	contracts/acoustic-interaction.md#sd-evt-aco-014--voicecontrolprocessed	sha256:50142b87e9c9c10a6f0b57bf49a4e26933cd491a4ca7592083bcd6c0f68bb7f3
definition	SD-EVT-EXE-009@1	contracts/execution-acoustic-v2.md#sd-evt-exe-009--acousticgraphcontributioncommitted	sha256:ec7e90dd0f992771ab3e384ad568918e4c53e25d035850babc45dd6163bd9f81
definition	SD-EVT-EXE-010@1	contracts/execution-acoustic-v2.md#sd-evt-exe-010--executionsnapshotv2activated	sha256:887ce5b69439ebb9a58e8bc313529fe7c9093704ec2718b1fd42a456914187e3
definition	SD-EVT-EXE-011@1	contracts/execution-acoustic-v2.md#sd-evt-exe-011--executionmigrationcontroladvanced	sha256:7f5c38961e4521995d9f89cd9d8b778419367dafc0f97d15b5688986d66206b1
definition	SD-FAIL-ACO-001@1	contracts/acoustic-interaction.md#sd-fail-aco-001--acousticfailure	sha256:f6a3f7f70f1da0bc62a011b77a865be6815a7837742545fd59c067f9a616853d
definition	SD-FAIL-EXE-001@1	contracts/execution-acoustic-v2.md#sd-fail-exe-001--executionv2compatibilityfailure	sha256:2618be06f70bce1d7e8b0e657a8e3dedc696b0174b7105e513df6fcd150b745d
definition	SD-GPH-ACO-001@1	contracts/acoustic-interaction.md#sd-gph-aco-001--onewakeonecommandgraph	sha256:e3c04109cd3685348b4fcb6b5cab465c9ab0a674a5a65dda3639ae5642783a41
definition	SD-GPH-ACO-002@1	contracts/acoustic-interaction.md#sd-gph-aco-002--acousticsourcerecoverygraph	sha256:ede95444f2b3d4d1e0c0cc72108d39d8d770e9e8215e17cb4b70d1681f5e7f72
