Obligation ID	Parent AC	Package ID	Tranche ID	Canonical storage ref	Obligation meaning SHA-256	Joint group	Parent contribution	Design IDs	Proof type	Negative case	Target scope	Accounting	Design	Proof	Blocker
DO-PER-003A	AC-PER-001	WP-01	TR-WP01-PER-GRAPH-001	docs/system-design/slices/05-effect-graph-readiness.md::DO-PER-003A	sha256:4029364323e8444f79b59f77f18593f20425fbe04f7dff8b46c51b91e9c07a6f	JG-PER-R3-SCHEMA	full	SD-CTX-EXE-001, SD-MOD-EXE-006, SD-MOD-EXE-010, SD-STA-EXE-003, SD-MOD-EXE-008	architecture/contract	accepted V1/V2 in-place変更、audit injectionとoperational mapを二重mutable正本化、R3を製品世代化	Execution R3	accounted-for	designed	planned	—
DO-PER-003B	AC-PER-001	WP-01	TR-WP01-PER-GRAPH-001	docs/system-design/slices/05-effect-graph-readiness.md::DO-PER-003B	sha256:89b0fd54d950cc61406ec00990c8541e51d628af9cda830f704d882fb7c39984	JG-PER-R3-TOPOLOGY	full	SD-MOD-EXE-008, SD-RUL-EXE-010, SD-TRN-EXE-019, SD-PER-EXE-011, SD-EVT-EXE-012	pure/crash-recovery	unknown consumer／別Graph edge／未宣言issuer、DependencyTerminal cycle、既存consumer前提の遡及変更、digest encoding差	initial+extensions topology	accounted-for	designed	planned	—
DO-PER-003C	AC-PER-001	WP-01	TR-WP01-PER-GRAPH-001	docs/system-design/slices/05-effect-graph-readiness.md::DO-PER-003C	sha256:da9480b90179f37d74753de2509bf503885bbb41fe2a5ea601ba34b988bd59b0	JG-PER-R3-READY	full	SD-RUL-EXE-011, SD-MOD-EXE-008, SD-STA-EXE-003	pure	dependency一件不足、Failed／Pending／Revoked／OutcomeUnknown guard、capacity/leaseをsemantic ready input化	common semantic ready set	accounted-for	designed	planned	—
DO-PER-003D	AC-PER-001	WP-01	TR-WP01-PER-GRAPH-001	docs/system-design/slices/05-effect-graph-readiness.md::DO-PER-003D	sha256:cc91a8b2c39f1c077805105e0c9238f96efa7a6bdbaa6777e54b7f51362f5903	JG-PER-R3-CYCLE	full	SD-RUL-EXE-010, SD-MOD-EXE-008, SD-FAIL-EXE-002	pure	self-edge、dependency cycle、producer自身／descendant guard fact	topology validation	accounted-for	designed	planned	—
DO-PER-003E	AC-PER-001	WP-01	TR-WP01-PER-GRAPH-001	docs/system-design/slices/05-effect-graph-readiness.md::DO-PER-003E	sha256:cdfcfa412bf397015ee47c54f986cb479d6b6cfeb0ca12a4cd9aa151378508d9	JG-PER-R3-OCCURRENCE	full	SD-STA-EXE-003, SD-TRN-EXE-021, SD-PER-EXE-013	pure/concurrency	同値Effectを一Occurrenceへ畳む、旧attempt／generation resultを現workへ付替え	occurrence/result identity	accounted-for	designed	planned	—
DO-PER-003F	AC-PER-001	WP-01	TR-WP01-PER-GRAPH-001	docs/system-design/slices/05-effect-graph-readiness.md::DO-PER-003F	sha256:ec5bd0bdec9ee4a4488f8c0af6f635d6916b77a69ac8a1706b78891730977fa1	JG-PER-R3-DEADLINE	full	SD-EVT-EXE-014, SD-RUL-EXE-013, SD-TRN-EXE-021, SD-PER-EXE-013	pure/concurrency/crash-recovery	deadline/target attempt・generation・timer epoch不一致、Elapsedをtarget未適用／停止へ昇格、二winner	common deadline	accounted-for	designed	planned	—
DO-PER-003G	AC-PER-001	WP-01	TR-WP01-PER-GRAPH-001	docs/system-design/slices/05-effect-graph-readiness.md::DO-PER-003G	sha256:a6d3838ec4d3893f49ca25aa9200d6b67497ffb63fee7d6d70dd690d96c4c263	JG-PER-R3-MIGRATION	full	SD-CMD-EXE-002, SD-EVT-EXE-018, SD-MOD-EXE-010, SD-RUL-EXE-014, SD-RUL-EXE-017, SD-RUL-EXE-018, SD-TRN-EXE-022, SD-TRN-EXE-025, SD-PER-EXE-014, SD-EVT-EXE-015, SD-PRJ-EXE-002, SD-PRF-EXE-002, SD-PRF-EXE-004	architecture/crash-recovery	injection validationだけcommit、operational map/occupancyなしactivation、closed表外edge、RetrySameCut dead-end	atomic active V2→R3 activation	accounted-for	designed	planned	—
DO-PER-003H	AC-PER-001	WP-01	TR-WP01-PER-GRAPH-001	docs/system-design/slices/05-effect-graph-readiness.md::DO-PER-003H	sha256:67eee42d66b0db1435cbc314d9eb0cf8420623accd9c828463cd87e9841615d7	JG-PER-REVIEW-CLOSURE	full	SD-MOD-EXE-006, SD-PRF-EXE-002, SD-PRF-EXE-003	architecture/contract	transitive dependency definition欠落、Pilot partial一件だけでcovered、未accepted／self依存tranche	review integrity	accounted-for	designed	planned	—
DO-PER-004A	AC-PER-002	WP-01	TR-WP01-PER-GRAPH-001	docs/system-design/slices/05-effect-graph-readiness.md::DO-PER-004A	sha256:41ba81e0c101cb61539457afb86f4c61ee052e507494e3d739414c9ffc7655eb	JG-PER-R3-RESOURCE-KEY	full	SD-MOD-EXE-007, SD-MOD-EXE-009, SD-STA-EXE-003, SD-RUL-EXE-018, SD-PRF-EXE-004	pure/contract	V2 active leaseをoccupancy外に置く、同physical identityを異profileで別resource扱い、Adapter自己申告idempotency	physical identity / trusted evidence	accounted-for	designed	planned	—
DO-PER-004B	AC-PER-002	WP-01	TR-WP01-PER-GRAPH-001	docs/system-design/slices/05-effect-graph-readiness.md::DO-PER-004B	sha256:661b006c61a10c8a9b0d3d4491f64d4ea948cef9ca78a4a13473381116aea2f4	JG-PER-R3-RESOURCE-ALGEBRA	full	SD-MOD-EXE-007, SD-RUL-EXE-012, SD-RUL-EXE-019, SD-TRN-EXE-026, SD-PER-EXE-017, SD-PRF-EXE-003	pure/concurrency	named continuation Transitionなし、replayでuse count二重増、holder terminalとrelease別commit、全holder terminal前release	conflict / named interval algebra	accounted-for	designed	planned	—
DO-PER-004C	AC-PER-002	WP-01	TR-WP01-PER-GRAPH-001	docs/system-design/slices/05-effect-graph-readiness.md::DO-PER-004C	sha256:379ea385a28f9d591fe950ebb522e012b4e6ee809eda0ee09ff834f46a724046	JG-PER-R3-CLAIM-ATOMICITY	full	SD-RUL-EXE-012, SD-TRN-EXE-020, SD-PER-EXE-012, SD-EVT-EXE-013	concurrency/crash-recovery	multi-claim subset、same-key二winner、phantom insert、global revisionで非競合claim直列化	per-resource occupancy CAS	accounted-for	designed	planned	—
DO-PER-004D	AC-PER-002	WP-01	TR-WP01-PER-GRAPH-001	docs/system-design/slices/05-effect-graph-readiness.md::DO-PER-004D	sha256:474c0d9d6df32f6890e15cda7bceac0a73e89cc76953aec8183e03c756d83b36	JG-PER-R3-DISPATCH	full	SD-MOD-EXE-009, SD-STA-EXE-003, SD-EVT-EXE-013, SD-TRN-EXE-020, SD-TRN-EXE-023, SD-RUL-EXE-012, SD-RUL-EXE-015, SD-PER-EXE-012, SD-PER-EXE-015, SD-PRF-EXE-003	concurrency/crash-recovery	Attempt/Eventへevidence tuple未保存、capacityのみCASしdispatch profile race見逃し、V2 outbox class再推測	durable dispatch/evidence	accounted-for	designed	planned	—
DO-PER-004E	AC-PER-002	WP-01	TR-WP01-PER-GRAPH-001	docs/system-design/slices/05-effect-graph-readiness.md::DO-PER-004E	sha256:8e9a8aa18a2929ec552325a1873bc9a0017568ba999f67a7b54b247dc68a8f0a	JG-PER-R3-RESULT	full	SD-TRN-EXE-021, SD-PER-EXE-013, SD-FAIL-EXE-002	concurrency/crash-recovery	result_event_id差でduplicateを別winner化、same canonical key異payloadでwinner上書き、lease二重解放	canonical inbox identity	accounted-for	designed	planned	—
DO-PER-004F	AC-PER-002	WP-01	TR-WP01-PER-GRAPH-001	docs/system-design/slices/05-effect-graph-readiness.md::DO-PER-004F	sha256:7ca16e191fe2fe1e93b894027742fff78374721bf33c14923f12700dbcabf1f7	JG-PER-R3-RECOVERY	full	SD-GPH-EXE-001, SD-CMD-EXE-001, SD-EVT-EXE-017, SD-RUL-EXE-016, SD-TRN-EXE-021, SD-TRN-EXE-024, SD-PER-EXE-011, SD-PER-EXE-012, SD-PER-EXE-013, SD-PER-EXE-016, SD-STA-EXE-003	concurrency/crash-recovery	cancel/query/reconcileをimperative送信、RecoveryPrivilegedをnormal claim/UoW bypass、subset custody	recovery occurrence/custody	accounted-for	designed	planned	—
