Obligation ID	Parent AC	Package ID	Tranche ID	Canonical storage ref
DO-ACO-001A	AC-ACOU-001	WP-01	TR-WP01-ACOU-001	docs/system-design/slices/04-acoustic-one-wake-one-command.md::DO-ACO-001A
DO-ACO-001B	AC-ACOU-001	WP-01	TR-WP01-ACOU-001	docs/system-design/slices/04-acoustic-one-wake-one-command.md::DO-ACO-001B
DO-ACO-001C	AC-ACOU-001	WP-01	TR-WP01-ACOU-001	docs/system-design/slices/04-acoustic-one-wake-one-command.md::DO-ACO-001C
DO-ACO-002A	AC-ACOU-002	WP-01	TR-WP01-ACOU-001	docs/system-design/slices/04-acoustic-one-wake-one-command.md::DO-ACO-002A
DO-ACO-002B	AC-ACOU-002	WP-01	TR-WP01-ACOU-001	docs/system-design/slices/04-acoustic-one-wake-one-command.md::DO-ACO-002B
DO-ACO-002C	AC-ACOU-002	WP-01	TR-WP01-ACOU-001	docs/system-design/slices/04-acoustic-one-wake-one-command.md::DO-ACO-002C
DO-ACO-003A	AC-ACOU-003	WP-01	TR-WP01-ACOU-001	docs/system-design/slices/04-acoustic-one-wake-one-command.md::DO-ACO-003A
DO-ACO-003B	AC-ACOU-003	WP-01	TR-WP01-ACOU-001	docs/system-design/slices/04-acoustic-one-wake-one-command.md::DO-ACO-003B
DO-ACO-004A	AC-ACOU-004	WP-01	TR-WP01-ACOU-001	docs/system-design/slices/04-acoustic-one-wake-one-command.md::DO-ACO-004A
DO-ACO-004B	AC-ACOU-004	WP-01	TR-WP01-ACOU-001	docs/system-design/slices/04-acoustic-one-wake-one-command.md::DO-ACO-004B
DO-ACO-005A	AC-ACOU-005	WP-01	TR-WP01-ACOU-001	docs/system-design/slices/04-acoustic-one-wake-one-command.md::DO-ACO-005A
DO-ACO-005B	AC-ACOU-005	WP-01	TR-WP01-ACOU-001	docs/system-design/slices/04-acoustic-one-wake-one-command.md::DO-ACO-005B
DO-ACO-005C	AC-ACOU-005	WP-01	TR-WP01-ACOU-001	docs/system-design/slices/04-acoustic-one-wake-one-command.md::DO-ACO-005C
DO-ACO-006A	AC-ACOU-006	WP-01	TR-WP01-ACOU-001	docs/system-design/slices/04-acoustic-one-wake-one-command.md::DO-ACO-006A
DO-ACO-006B	AC-ACOU-006	WP-01	TR-WP01-ACOU-001	docs/system-design/slices/04-acoustic-one-wake-one-command.md::DO-ACO-006B
DO-ACO-006C	AC-ACOU-006	WP-01	TR-WP01-ACOU-001	docs/system-design/slices/04-acoustic-one-wake-one-command.md::DO-ACO-006C
DO-ACO-006D	AC-ACOU-006	WP-01	TR-WP01-ACOU-001	docs/system-design/slices/04-acoustic-one-wake-one-command.md::DO-ACO-006D
DO-ACO-007A	AC-ACOU-007	WP-01	TR-WP01-ACOU-001	docs/system-design/slices/04-acoustic-one-wake-one-command.md::DO-ACO-007A
DO-ACO-007B	AC-ACOU-007	WP-01	TR-WP01-ACOU-001	docs/system-design/slices/04-acoustic-one-wake-one-command.md::DO-ACO-007B
DO-ACO-007C	AC-ACOU-007	WP-01	TR-WP01-ACOU-001	docs/system-design/slices/04-acoustic-one-wake-one-command.md::DO-ACO-007C
DO-AGT-001	AC-AGT-001	WP-06	TR-PILOT-ABC	docs/system-design/slices/02-finite-conversation.md::DO-AGT-001
DO-AGT-002	AC-AGT-002	WP-06	TR-PILOT-ABC	docs/system-design/slices/02-finite-conversation.md::DO-AGT-002
DO-AGT-003A	AC-AGT-003	WP-06	TR-PILOT-ABC	docs/system-design/slices/02-finite-conversation.md::DO-AGT-003A
DO-AGT-003B	AC-AGT-003	WP-06	TR-PILOT-ABC	docs/system-design/slices/02-finite-conversation.md::DO-AGT-003B
DO-AGT-004A	AC-AGT-004	WP-06	TR-PILOT-ABC	docs/system-design/slices/02-finite-conversation.md::DO-AGT-004A
DO-AGT-004B	AC-AGT-004	WP-06	TR-PILOT-ABC	docs/system-design/slices/02-finite-conversation.md::DO-AGT-004B
DO-AGT-005	AC-AGT-005	WP-06	TR-PILOT-ABC	docs/system-design/slices/02-finite-conversation.md::DO-AGT-005
DO-AGT-006	AC-AGT-006	WP-06	TR-PILOT-ABC	docs/system-design/slices/02-finite-conversation.md::DO-AGT-006
DO-AGT-007A	AC-AGT-007	WP-06	TR-PILOT-ABC	docs/system-design/slices/02-finite-conversation.md::DO-AGT-007A
DO-AGT-007B	AC-AGT-007	WP-06	TR-PILOT-ABC	docs/system-design/slices/02-finite-conversation.md::DO-AGT-007B
DO-AGT-008	AC-AGT-008	WP-06	TR-PILOT-ABC	docs/system-design/slices/02-finite-conversation.md::DO-AGT-008
DO-AGT-009	AC-AGT-009	WP-06	TR-PILOT-ABC	docs/system-design/slices/02-finite-conversation.md::DO-AGT-009
DO-ARC-019B	AC-ARC-019	WP-01	TR-PILOT-ABC	docs/system-design/slices/02-finite-conversation.md::DO-ARC-019B
DO-ARC-020B	AC-ARC-020	WP-01	TR-PILOT-ABC	docs/system-design/slices/02-finite-conversation.md::DO-ARC-020B
