Requirement	AC	Source locator	Requirement title	AC text	Requirement SHA-256	AC SHA-256
REQ-API-001	AC-API-001	4df6fb1:api-and-web-requirements.md:13	### REQ-API-001 — 利用者向け全機能を公開APIから利用可能にする	- AC-API-001: 標準Web画面から行う代表操作が、公開APIのtransport値から、音声等の別Inbound Adapterと同じ型付きCommand境界へ変換される。	sha256:ffb26067ccaeea512e9769ed30850129d099ba0f8e9c6ed901035b3b3a032372	sha256:54687e569555d892a04316195ca8900584567e552b6321bfea83f6d0fc12f005
REQ-API-001	AC-API-002	4df6fb1:api-and-web-requirements.md:14	### REQ-API-001 — 利用者向け全機能を公開APIから利用可能にする	- AC-API-002: API適合試験が、内部Effectの直接dispatch、Adapter直接呼出し、WorldStateの直接変更を拒否し、安全・権限・Capability Policyを通過した操作だけを受理する。	sha256:ffb26067ccaeea512e9769ed30850129d099ba0f8e9c6ed901035b3b3a032372	sha256:c9af7cce39cd7e9faa43d8d2abdb9ef0d51d9a0ccd5925012943fc031e49aa07
REQ-API-001	AC-API-003	4df6fb1:api-and-web-requirements.md:15	### REQ-API-001 — 利用者向け全機能を公開APIから利用可能にする	- AC-API-003: architecture testが、API request／response schemaを変更または別transportへ交換してもdomain型とRuleの変更を要求せず、domainがWeb frameworkまたはtransport schemaへ依存しないことを示す。	sha256:ffb26067ccaeea512e9769ed30850129d099ba0f8e9c6ed901035b3b3a032372	sha256:20c86729559dee5bc8d3ee498f6252feaef2655429021e62842f4944896c8127
REQ-API-001	AC-API-015	4df6fb1:api-and-web-requirements.md:16	### REQ-API-001 — 利用者向け全機能を公開APIから利用可能にする	- AC-API-015: 二つの認証済みbrowser/API mutationとvoiceが同時に入力するfixtureが、browser/API mutationのclient idempotency keyを必須にする。同一key/同一payloadはInteraction Contextの耐久request-idempotency ledgerから同じ型付きresultをreplayしてEffectを重複せず、同一key/異payloadはConflictを返す。restart fixtureはRejected、AcceptedNoEffect、Pending、Completedをledgerから復元し、Execution pending EffectOccurrence recordとRecovery keyと混同しない。voiceはAPI keyを要求されずserver-assigned input identityを受ける。HomeとWeb Cancelは競合中も優先する。TTS再生中の音声Stop候補だけはREQ-ACOU-001の抑止判定を先に通る。	sha256:ffb26067ccaeea512e9769ed30850129d099ba0f8e9c6ed901035b3b3a032372	sha256:4e76f1a05f4f6b3fdccff391302402bf7c2a68cf8f2e813ea275557b79bb9653
REQ-API-002	AC-API-004	4df6fb1:api-and-web-requirements.md:24	### REQ-API-002 — Webへ現在状態と更新を継続同期する	- AC-API-004: 接続fixtureが現在Projectionとrevisionを取得し、その後のQualia開始、進行、結果、ArtifactRef更新を再読込なしで同じrevision列として受け取る。	sha256:147e5d7758fd7f23c7be8ee12c6cc5451b91983aff4a3e0a2cd4e4d3fac000c4	sha256:dc5b42a0b437d5d6da9d40b35c29af09c5cd72474cb7c2cf77462ed8f30e58e5
REQ-API-002	AC-API-005	4df6fb1:api-and-web-requirements.md:25	### REQ-API-002 — Webへ現在状態と更新を継続同期する	- AC-API-005: 更新欠落、順序逆転、切断を模擬するfixtureが、現在Projectionから再同期し、Active Qualiaを取消・再開始せず、重複表示を確定事実として扱わない。	sha256:147e5d7758fd7f23c7be8ee12c6cc5451b91983aff4a3e0a2cd4e4d3fac000c4	sha256:e963403d163d468d9667bc5986c12b9526c065ed53ec595668781df883eba305
REQ-API-002	AC-API-006	4df6fb1:api-and-web-requirements.md:26	### REQ-API-002 — Webへ現在状態と更新を継続同期する	- AC-API-006: lifecycle、最終結果、Failure、Home／取消結果、ArtifactRefは再接続後に参照できる。未確定文字断片、細かな進捗、生media frameを同じ永続Event列へ無制限に保存しない。	sha256:147e5d7758fd7f23c7be8ee12c6cc5451b91983aff4a3e0a2cd4e4d3fac000c4	sha256:942b6517282c556c4e2174dce4956da09e57716224d556e43562ff6b06f48932
REQ-API-002	AC-API-007	4df6fb1:api-and-web-requirements.md:27	### REQ-API-002 — Webへ現在状態と更新を継続同期する	- AC-API-007: live映像または音声を提供する構成が、状態更新のrevision列とmedia transportを区別し、一方の切断を他方の物理結果として扱わない。	sha256:147e5d7758fd7f23c7be8ee12c6cc5451b91983aff4a3e0a2cd4e4d3fac000c4	sha256:8f329752f9179a32c86233d9c1cc8a5d32e729b32a84b77f19bf19fac76ca2b1
REQ-API-003	AC-API-008	4df6fb1:api-and-web-requirements.md:35	### REQ-API-003 — 標準Web画面と画面カスタマイズを分離する	- AC-API-008: UI profileが対応viewportの最小・最大幅、入力方式、必須部品を定義し、その境界値を用いるresponsive UI testが、Home、現在Qualia、主要操作、進行、Failure、成果物を操作または参照できることを示す。	sha256:974b3c29963fae5a0be420b9bb441c696910f9a95e46c92de9ee7e708203c84e	sha256:377240a0043a16d0b7844145ec2bf81960a2d907d87e258a3f4b4db5cde1ef60
REQ-API-003	AC-API-009	4df6fb1:api-and-web-requirements.md:36	### REQ-API-003 — 標準Web画面と画面カスタマイズを分離する	- AC-API-009: 利用者fixtureが独自HTML／CSSから承認済みWeb部品の配置と外観を変更できる一方、新しいCommand種別、API権限、実行コード、振る舞いを導入できない。	sha256:974b3c29963fae5a0be420b9bb441c696910f9a95e46c92de9ee7e708203c84e	sha256:c68638597788d8d597d2c946d8903ef24f1900b65001654a2590ee283642883a
REQ-API-003	AC-API-010	4df6fb1:api-and-web-requirements.md:37	### REQ-API-003 — 標準Web画面と画面カスタマイズを分離する	- AC-API-010: 不正または非互換な利用者画面を読み込めない場合も、標準Web画面と常設Home操作を利用できる。	sha256:974b3c29963fae5a0be420b9bb441c696910f9a95e46c92de9ee7e708203c84e	sha256:29ca34edc8e4517175c9f36fb7db0b0c08a952bcab2f78859269ab001c739703
REQ-API-004	AC-API-011	4df6fb1:api-and-web-requirements.md:47	### REQ-API-004 — 一つのOwnerを認証し、一種のWeb API tokenを管理する	- AC-API-011: 未認証fixtureが状態、Artifact、操作、設定APIを利用できず、Owner sessionまたは有効tokenだけが許可範囲のAPIへ到達する。	sha256:c8bdcd17748deef17469439f039faa0438327c18215e6e55d16cc9a23a9d601b	sha256:6947eb1320f56e30c1d3cf381f471a83d045a5528a566730ae796e3c26c66147
REQ-API-004	AC-API-012	4df6fb1:api-and-web-requirements.md:48	### REQ-API-004 — 一つのOwnerを認証し、一種のWeb API tokenを管理する	- AC-API-012: token取消fixtureが新規requestを拒否し、既存のQualia、Workspace、Owner identityを削除または変更しない。	sha256:c8bdcd17748deef17469439f039faa0438327c18215e6e55d16cc9a23a9d601b	sha256:9eb0d16ae86b212eeef217c1810ee0416d6d91401c54e8415208139c8463104c
REQ-API-004	AC-API-013	4df6fb1:api-and-web-requirements.md:49	### REQ-API-004 — 一つのOwnerを認証し、一種のWeb API tokenを管理する	- AC-API-013: setup fixtureが一つのWorkspaceと一人のOwnerを作成し、複数利用者、role、organizationを要求しない。複数browser／token／deviceは同じOwnerとWorkspaceに属する。	sha256:c8bdcd17748deef17469439f039faa0438327c18215e6e55d16cc9a23a9d601b	sha256:04bb455423dc914ac15dabaed6215fdfb18926653efec9da55c4e7007e046cec
REQ-API-004	AC-API-014	4df6fb1:api-and-web-requirements.md:50	### REQ-API-004 — 一つのOwnerを認証し、一種のWeb API tokenを管理する	- AC-API-014: deployment fixtureが認証なしの直接Internet公開を既定にせず、LANまたは私設networkの到達範囲とYatagarasu認証を別々に診断表示する。	sha256:c8bdcd17748deef17469439f039faa0438327c18215e6e55d16cc9a23a9d601b	sha256:f753ff9ecf46534494185cffd8397b43ca2244c1b4055a4b4ba8f1c8bc1e5e40
REQ-API-004	AC-API-016	4df6fb1:api-and-web-requirements.md:51	### REQ-API-004 — 一つのOwnerを認証し、一種のWeb API tokenを管理する	- AC-API-016: token fixtureがread/operateだけを許可し、password reset、token管理/reveal、secret参照、capability install、Skill enablement、security変更をすべて拒否する。auditにはtoken IDだけが残る。	sha256:c8bdcd17748deef17469439f039faa0438327c18215e6e55d16cc9a23a9d601b	sha256:693130fa03419db505d4324d0c78c5939b1d408495c5898e5756bece2cb9fd2c
REQ-API-004	AC-API-017	4df6fb1:api-and-web-requirements.md:52	### REQ-API-004 — 一つのOwnerを認証し、一種のWeb API tokenを管理する	- AC-API-017: token issuance fixtureがWebでplaintextを一回だけ表示して以後maskedにし、認可済みLinux server administrator CLIだけがencrypted recoverable secret storageからexact tokenを再表示できること、hash-only storageでないこと、secretがEvent/Projection/journal/logへ出ないことを示す。	sha256:c8bdcd17748deef17469439f039faa0438327c18215e6e55d16cc9a23a9d601b	sha256:cc1d448ca7dca335ddbbfed56207582248662e1c297f8b6055beaebd4f14f82b
REQ-API-004	AC-API-018	4df6fb1:api-and-web-requirements.md:53	### REQ-API-004 — 一つのOwnerを認証し、一種のWeb API tokenを管理する	- AC-API-018: password reset fixtureがlocal Linux CLIからのみ可能であり、成功を返す前に既存session/tokenをdurably revokeする。並行new request fixtureはrevocation後に旧credentialを受理しない。	sha256:c8bdcd17748deef17469439f039faa0438327c18215e6e55d16cc9a23a9d601b	sha256:a4c3fa4ed996e699c0a2024a1debedabe1488107475d285589fd11c7bdaa2ebc
REQ-API-004	AC-API-019	4df6fb1:api-and-web-requirements.md:54	### REQ-API-004 — 一つのOwnerを認証し、一種のWeb API tokenを管理する	- AC-API-019: reverse proxy fixtureがconfigured trusted proxy、header sanitation、TLSのいずれかを欠くと外部公開を拒否する。direct router port forwarding fixtureはdoctorがunsupportedとしてfail-closed warning/rejectionを返す。	sha256:c8bdcd17748deef17469439f039faa0438327c18215e6e55d16cc9a23a9d601b	sha256:eaa256e6968575dc27bf67885c2b33656fc12a396bfb133afc82ba646f7165ed
