Obligation ID	Parent AC	Package ID	Tranche ID	Canonical storage ref	Obligation meaning SHA-256	Joint group	Parent contribution	Design IDs	Proof type	Negative case	Target scope	Accounting	Design	Proof	Blocker
DO-AGT-001	AC-AGT-001	WP-06	TR-PILOT-ABC	docs/system-design/slices/02-finite-conversation.md::DO-AGT-001	sha256:5db49c6f222e793574be5787a6166e026a3898455472c6532ca293d4580ac715	JG-CNV-ADAPTER	full	SD-PRT-AGT-001, SD-MOD-CNV-001	contract/spike	turnごとprocess起動、initialize重複	初期Agent	accounted-for	designed	blocked-by-spike	proof-status:blocked-by-spike
DO-AGT-002	AC-AGT-002	WP-06	TR-PILOT-ABC	docs/system-design/slices/02-finite-conversation.md::DO-AGT-002	sha256:35d82241172c8454cdabb1420e2160a7ede33fe1bae201b8313b9f8bb7ca6488	JG-CNV-CONTINUITY	full	SD-STA-AGT-001, SD-EFX-AGT-001	integration	HomeでThread終了	共通	accounted-for	designed	planned	—
DO-AGT-003A	AC-AGT-003	WP-06	TR-PILOT-ABC	docs/system-design/slices/02-finite-conversation.md::DO-AGT-003A	sha256:8a6b9d30a8e147c4c77a4c7980bc5f9ef49e54cb951a04a6bac80462de1df11c	JG-CNV-RECOVERY	full	SD-STA-AGT-001, SD-PER-CNV-001	crash-recovery	crash-before-IDを別turnへbind	共通	accounted-for	designed	planned	—
DO-AGT-003B	AC-AGT-003	WP-06	TR-PILOT-ABC	docs/system-design/slices/02-finite-conversation.md::DO-AGT-003B	sha256:b5d7492e07190c14ede3c29f092bebba82796dc50aac6be2996d4b376d48d415	JG-CNV-RECOVERY	full	SD-REC-AGT-001, SD-REC-AGT-002	crash-recovery	--last、暗黙new Thread	共通	accounted-for	designed	planned	—
DO-AGT-004A	AC-AGT-004	WP-06	TR-PILOT-ABC	docs/system-design/slices/02-finite-conversation.md::DO-AGT-004A	sha256:7b8d1a0a0c55dfbd93dcfe2b49595d114e94a69913e5ccfcc8431836e72c08c0	JG-CNV-CANCEL	full	SD-RUL-AGT-003, SD-EFX-AGT-003, SD-EVT-AGT-003	pure/contract	stale cancel dispatch	共通	accounted-for	designed	planned	—
DO-AGT-004B	AC-AGT-004	WP-06	TR-PILOT-ABC	docs/system-design/slices/02-finite-conversation.md::DO-AGT-004B	sha256:e1b0e06400ba945095c7789a6b795860e1113bba54d51ec8e5ac491d78d955b7	JG-CNV-REDACTION	full	SD-EVT-AGT-001, SD-PRJ-AGT-001	contract	raw delta/Thread ID漏洩	共通	accounted-for	designed	planned	—
DO-AGT-005	AC-AGT-005	WP-06	TR-PILOT-ABC	docs/system-design/slices/02-finite-conversation.md::DO-AGT-005	sha256:b8fef13f368d1df66e2a27b7ecd46c7df825d9e00aba86a2cc97047c49e50c77	JG-CNV-OWNER	full	SD-CTX-AGT-001, SD-PRT-AGT-001	architecture/measurement	別Contextがbinding所有	共通	accounted-for	designed	planned	—
DO-AGT-006	AC-AGT-006	WP-06	TR-PILOT-ABC	docs/system-design/slices/02-finite-conversation.md::DO-AGT-006	sha256:f69d1a4eac16e9497294740072436add656cacec0bf3d157b7f6e833554b3079	JG-CNV-ISOLATION	full	SD-RUL-AGT-006, SD-TRN-AGT-006, SD-TRN-EXE-008, SD-REC-AGT-001	concurrency	timeoutと成功の二重採用、turn A late結果がBを変更	共通	accounted-for	designed	planned	—
DO-AGT-007A	AC-AGT-007	WP-06	TR-PILOT-ABC	docs/system-design/slices/02-finite-conversation.md::DO-AGT-007A	sha256:3c32acfc1773729751303f65cb29621d2ac9008b36d9a75140ca796ae5e2f8ba	JG-CNV-RESET	full	SD-RUL-AGT-004, SD-TRN-AGT-002, SD-REC-AGT-002	crash-recovery	reset crash、Memory暗黙削除	共通	accounted-for	designed	planned	—
DO-AGT-007B	AC-AGT-007	WP-06	TR-PILOT-ABC	docs/system-design/slices/02-finite-conversation.md::DO-AGT-007B	sha256:ec01eddceb3c49fd09efdb3350c93e02d8a1eba3a176d8bae33f9674ccbbafb6	JG-CNV-COMPACTION	full	SD-CMD-AGT-002, SD-EVT-AGT-005, SD-TRN-AGT-004, SD-TRN-AGT-005, SD-PRJ-AGT-001	integration	compaction後Full主張、route gap隠蔽	共通	accounted-for	designed	planned	—
DO-AGT-008	AC-AGT-008	WP-06	TR-PILOT-ABC	docs/system-design/slices/02-finite-conversation.md::DO-AGT-008	sha256:e7bd1f01cb781bf8e1b5d62755a22ed746010c184cab5fd2db59f5609a34643a	JG-CNV-CONTINUITY	full	SD-RUL-AGT-001, SD-EFX-AGT-001, SD-EFX-AGT-002	integration	route gap turnをThread履歴化	共通	accounted-for	designed	planned	—
DO-AGT-009	AC-AGT-009	WP-06	TR-PILOT-ABC	docs/system-design/slices/02-finite-conversation.md::DO-AGT-009	sha256:44bdd25bf693251217f99b771f0e3e59a66fba29d8dc4273727ce50d256edfce	JG-CNV-CONTINUITY	full	SD-EFX-AGT-002, SD-EFX-AGT-003, SD-PRT-AGT-002	contract/integration	Thread absence欠落、停止捏造	共通	accounted-for	designed	planned	—
DO-ARC-019B	AC-ARC-019	WP-01	TR-PILOT-ABC	docs/system-design/slices/02-finite-conversation.md::DO-ARC-019B	sha256:c20b9576d11d4db60ab25cfbf837817544af627d61eb945344dd13c8f2447cb0	JG-CNV-PROPOSAL	partial	SD-EVT-AGT-002, SD-RUL-AGT-002, SD-RUL-CNV-003, SD-EFX-TOL-001, SD-PRT-AGT-001, SD-PRT-TOL-001	pure/integration	Agent tool要求をAdapterが直接実行	Agent Proposal部分	accounted-for	designed	planned	—
DO-ARC-020B	AC-ARC-020	WP-01	TR-PILOT-ABC	docs/system-design/slices/02-finite-conversation.md::DO-ARC-020B	sha256:60d0babaace90d6a5cb75e69d78037f781fa2953ee88b56e6e281dc706ba7f67	JG-CNV-PROPOSAL	partial	SD-EVT-AGT-002, SD-RUL-AGT-002	pure	Observation、許可Graph、未承認Proposalの混同	Agent Proposal部分	accounted-for	designed	planned	—
DO-ARC-021	AC-ARC-021	WP-01	TR-PILOT-ABC	docs/system-design/slices/02-finite-conversation.md::DO-ARC-021	sha256:5583e78f3d123ba7143ba79cb470340cf0cc49318037755b702620c732f66ffb	JG-CNV-OWNER	partial	SD-CTX-QLI-001, SD-CTX-CNV-001, SD-CTX-MEM-001, SD-CTX-AGT-001	architecture	Qualiaが本文所有	Pilot B owner	accounted-for	designed	planned	—
DO-ARC-022	AC-ARC-022	WP-01	TR-PILOT-ABC	docs/system-design/slices/02-finite-conversation.md::DO-ARC-022	sha256:e6fd1a9f0a127c29cf6efba9d4d9ce928410b045e7b86f709e2c403db13e449a	JG-CNV-QUALIA	full	SD-TRN-QLI-001, SD-REC-CNV-001	pure	非Home二session、無checkpoint resume	共通	accounted-for	designed	planned	—
DO-ARC-023	AC-ARC-023	WP-01	TR-PILOT-ABC	docs/system-design/slices/02-finite-conversation.md::DO-ARC-023	sha256:650f770b8e4088f60961313e9c34e7b77e2d34604355384cbb76533db81f700b	JG-CNV-OWNER	full	SD-STA-QLI-001	architecture	opaque refからreducer到達	共通	accounted-for	designed	planned	—
DO-CAM-001	AC-PRD-005	WP-02	TR-PILOT-ABC	docs/system-design/slices/01-camera-observation.md::DO-CAM-001	sha256:1bb60e0a6acc1576058f6d6a9ed12a8df6f1ddaec9384edc0697b7eecb2cb8e1	JG-CAM-E2E	full	SD-EFX-PHY-001, SD-EVT-EXE-001, SD-EVT-PHY-001, SD-EVT-PHY-002, SD-STA-PHY-001	real-device	start欠落、OutcomeUnknown	TC70必須/C210独立	accounted-for	designed	blocked-by-spike	proof-status:blocked-by-spike
DO-CAM-002	AC-PRD-006	WP-02	TR-PILOT-ABC	docs/system-design/slices/01-camera-observation.md::DO-CAM-002	sha256:4c412b2ec3c43a1d2656ddad624f592d924636c6144409e49424d99f3164eb32	JG-CAM-E2E	full	SD-EFX-CAP-001, SD-EVT-ART-002, SD-EVT-ART-003, SD-RUL-ART-001, SD-EFX-INF-001	integration/real-device	capture Failure、無効Artifact	TC70必須/C210独立	accounted-for	designed	blocked-by-spike	proof-status:blocked-by-spike
